gguf_ex_read_0: version:      3
gguf_ex_read_0: alignment:   32
gguf_ex_read_0: data offset: 12000
gguf_ex_read_0: n_kv: 4
gguf_ex_read_0: kv[0]: key = general.type
gguf_ex_read_0: kv[1]: key = general.architecture
gguf_ex_read_0: kv[2]: key = adapter.type
gguf_ex_read_0: kv[3]: key = adapter.lora.alpha
gguf_ex_read_0: find key: some.parameter.string not found.
gguf_ex_read_0: n_tensors: 162
gguf_ex_read_0: tensor[0]: name = blk.40.ffn_up_shexp.weight.lora_a, size = 688128, offset = 0
gguf_ex_read_0: tensor[1]: name = blk.40.ffn_up_shexp.weight.lora_b, size = 950272, offset = 688128
gguf_ex_read_0: tensor[2]: name = blk.38.ffn_up_shexp.weight.lora_a, size = 688128, offset = 1638400
gguf_ex_read_0: tensor[3]: name = blk.38.ffn_up_shexp.weight.lora_b, size = 950272, offset = 2326528
gguf_ex_read_0: tensor[4]: name = blk.10.ffn_up_shexp.weight.lora_a, size = 688128, offset = 3276800
gguf_ex_read_0: tensor[5]: name = blk.10.ffn_up_shexp.weight.lora_b, size = 950272, offset = 3964928
gguf_ex_read_0: tensor[6]: name = blk.29.ffn_gate_inp.weight.lora_a, size = 688128, offset = 4915200
gguf_ex_read_0: tensor[7]: name = blk.29.ffn_gate_inp.weight.lora_b, size = 16384, offset = 5603328
gguf_ex_read_0: tensor[8]: name = blk.38.ffn_gate_inp.weight.lora_a, size = 688128, offset = 5619712
gguf_ex_read_0: tensor[9]: name = blk.38.ffn_gate_inp.weight.lora_b, size = 16384, offset = 6307840
gguf_ex_read_0: tensor[10]: name = blk.38.ffn_down_shexp.weight.lora_a, size = 950272, offset = 6324224
gguf_ex_read_0: tensor[11]: name = blk.38.ffn_down_shexp.weight.lora_b, size = 688128, offset = 7274496
gguf_ex_read_0: tensor[12]: name = blk.31.ffn_up_shexp.weight.lora_a, size = 688128, offset = 7962624
gguf_ex_read_0: tensor[13]: name = blk.31.ffn_up_shexp.weight.lora_b, size = 950272, offset = 8650752
gguf_ex_read_0: tensor[14]: name = blk.34.ffn_down_shexp.weight.lora_a, size = 950272, offset = 9601024
gguf_ex_read_0: tensor[15]: name = blk.34.ffn_down_shexp.weight.lora_b, size = 688128, offset = 10551296
gguf_ex_read_0: tensor[16]: name = blk.13.ffn_gate_inp.weight.lora_a, size = 688128, offset = 11239424
gguf_ex_read_0: tensor[17]: name = blk.13.ffn_gate_inp.weight.lora_b, size = 16384, offset = 11927552
gguf_ex_read_0: tensor[18]: name = blk.42.attn_output.weight.lora_a, size = 1048576, offset = 11943936
gguf_ex_read_0: tensor[19]: name = blk.42.attn_output.weight.lora_b, size = 688128, offset = 12992512
gguf_ex_read_0: tensor[20]: name = blk.34.ffn_up_shexp.weight.lora_a, size = 688128, offset = 13680640
gguf_ex_read_0: tensor[21]: name = blk.34.ffn_up_shexp.weight.lora_b, size = 950272, offset = 14368768
gguf_ex_read_0: tensor[22]: name = blk.34.ffn_gate_inp.weight.lora_a, size = 688128, offset = 15319040
gguf_ex_read_0: tensor[23]: name = blk.34.ffn_gate_inp.weight.lora_b, size = 16384, offset = 16007168
gguf_ex_read_0: tensor[24]: name = blk.40.ffn_gate_inp.weight.lora_a, size = 688128, offset = 16023552
gguf_ex_read_0: tensor[25]: name = blk.40.ffn_gate_inp.weight.lora_b, size = 16384, offset = 16711680
gguf_ex_read_0: tensor[26]: name = blk.43.ffn_down_shexp.weight.lora_a, size = 950272, offset = 16728064
gguf_ex_read_0: tensor[27]: name = blk.43.ffn_down_shexp.weight.lora_b, size = 688128, offset = 17678336
gguf_ex_read_0: tensor[28]: name = blk.36.ffn_down_shexp.weight.lora_a, size = 950272, offset = 18366464
gguf_ex_read_0: tensor[29]: name = blk.36.ffn_down_shexp.weight.lora_b, size = 688128, offset = 19316736
gguf_ex_read_0: tensor[30]: name = blk.31.ffn_gate_inp.weight.lora_a, size = 688128, offset = 20004864
gguf_ex_read_0: tensor[31]: name = blk.31.ffn_gate_inp.weight.lora_b, size = 16384, offset = 20692992
gguf_ex_read_0: tensor[32]: name = blk.29.ffn_down_shexp.weight.lora_a, size = 950272, offset = 20709376
gguf_ex_read_0: tensor[33]: name = blk.29.ffn_down_shexp.weight.lora_b, size = 688128, offset = 21659648
gguf_ex_read_0: tensor[34]: name = blk.31.ffn_down_shexp.weight.lora_a, size = 950272, offset = 22347776
gguf_ex_read_0: tensor[35]: name = blk.31.ffn_down_shexp.weight.lora_b, size = 688128, offset = 23298048
gguf_ex_read_0: tensor[36]: name = blk.3.ffn_up_shexp.weight.lora_a, size = 688128, offset = 23986176
gguf_ex_read_0: tensor[37]: name = blk.3.ffn_up_shexp.weight.lora_b, size = 950272, offset = 24674304
gguf_ex_read_0: tensor[38]: name = blk.10.ffn_down_shexp.weight.lora_a, size = 950272, offset = 25624576
gguf_ex_read_0: tensor[39]: name = blk.10.ffn_down_shexp.weight.lora_b, size = 688128, offset = 26574848
gguf_ex_read_0: tensor[40]: name = blk.29.ffn_up_shexp.weight.lora_a, size = 688128, offset = 27262976
gguf_ex_read_0: tensor[41]: name = blk.29.ffn_up_shexp.weight.lora_b, size = 950272, offset = 27951104
gguf_ex_read_0: tensor[42]: name = blk.27.ffn_gate_inp.weight.lora_a, size = 688128, offset = 28901376
gguf_ex_read_0: tensor[43]: name = blk.27.ffn_gate_inp.weight.lora_b, size = 16384, offset = 29589504
gguf_ex_read_0: tensor[44]: name = blk.26.attn_q.weight.lora_a, size = 688128, offset = 29605888
gguf_ex_read_0: tensor[45]: name = blk.26.attn_q.weight.lora_b, size = 1048576, offset = 30294016
gguf_ex_read_0: tensor[46]: name = blk.24.ffn_gate_inp.weight.lora_a, size = 688128, offset = 31342592
gguf_ex_read_0: tensor[47]: name = blk.24.ffn_gate_inp.weight.lora_b, size = 16384, offset = 32030720
gguf_ex_read_0: tensor[48]: name = blk.47.ffn_up_shexp.weight.lora_a, size = 688128, offset = 32047104
gguf_ex_read_0: tensor[49]: name = blk.47.ffn_up_shexp.weight.lora_b, size = 950272, offset = 32735232
gguf_ex_read_0: tensor[50]: name = blk.8.ffn_gate_inp.weight.lora_a, size = 688128, offset = 33685504
gguf_ex_read_0: tensor[51]: name = blk.8.ffn_gate_inp.weight.lora_b, size = 16384, offset = 34373632
gguf_ex_read_0: tensor[52]: name = blk.36.ffn_gate_inp.weight.lora_a, size = 688128, offset = 34390016
gguf_ex_read_0: tensor[53]: name = blk.36.ffn_gate_inp.weight.lora_b, size = 16384, offset = 35078144
gguf_ex_read_0: tensor[54]: name = blk.15.ffn_gate_inp.weight.lora_a, size = 688128, offset = 35094528
gguf_ex_read_0: tensor[55]: name = blk.15.ffn_gate_inp.weight.lora_b, size = 16384, offset = 35782656
gguf_ex_read_0: tensor[56]: name = blk.15.ffn_up_shexp.weight.lora_a, size = 688128, offset = 35799040
gguf_ex_read_0: tensor[57]: name = blk.15.ffn_up_shexp.weight.lora_b, size = 950272, offset = 36487168
gguf_ex_read_0: tensor[58]: name = blk.3.ffn_gate_inp.weight.lora_a, size = 688128, offset = 37437440
gguf_ex_read_0: tensor[59]: name = blk.3.ffn_gate_inp.weight.lora_b, size = 16384, offset = 38125568
gguf_ex_read_0: tensor[60]: name = blk.15.ffn_down_shexp.weight.lora_a, size = 950272, offset = 38141952
gguf_ex_read_0: tensor[61]: name = blk.15.ffn_down_shexp.weight.lora_b, size = 688128, offset = 39092224
gguf_ex_read_0: tensor[62]: name = blk.24.ffn_up_shexp.weight.lora_a, size = 688128, offset = 39780352
gguf_ex_read_0: tensor[63]: name = blk.24.ffn_up_shexp.weight.lora_b, size = 950272, offset = 40468480
gguf_ex_read_0: tensor[64]: name = blk.33.attn_output.weight.lora_a, size = 1048576, offset = 41418752
gguf_ex_read_0: tensor[65]: name = blk.33.attn_output.weight.lora_b, size = 688128, offset = 42467328
gguf_ex_read_0: tensor[66]: name = blk.20.ffn_gate_inp.weight.lora_a, size = 688128, offset = 43155456
gguf_ex_read_0: tensor[67]: name = blk.20.ffn_gate_inp.weight.lora_b, size = 16384, offset = 43843584
gguf_ex_read_0: tensor[68]: name = blk.1.ffn_gate_inp.weight.lora_a, size = 688128, offset = 43859968
gguf_ex_read_0: tensor[69]: name = blk.1.ffn_gate_inp.weight.lora_b, size = 16384, offset = 44548096
gguf_ex_read_0: tensor[70]: name = blk.12.attn_output.weight.lora_a, size = 1048576, offset = 44564480
gguf_ex_read_0: tensor[71]: name = blk.12.attn_output.weight.lora_b, size = 688128, offset = 45613056
gguf_ex_read_0: tensor[72]: name = blk.10.ffn_gate_inp.weight.lora_a, size = 688128, offset = 46301184
gguf_ex_read_0: tensor[73]: name = blk.10.ffn_gate_inp.weight.lora_b, size = 16384, offset = 46989312
gguf_ex_read_0: tensor[74]: name = blk.8.ffn_up_shexp.weight.lora_a, size = 688128, offset = 47005696
gguf_ex_read_0: tensor[75]: name = blk.8.ffn_up_shexp.weight.lora_b, size = 950272, offset = 47693824
gguf_ex_read_0: tensor[76]: name = blk.36.ffn_up_shexp.weight.lora_a, size = 688128, offset = 48644096
gguf_ex_read_0: tensor[77]: name = blk.36.ffn_up_shexp.weight.lora_b, size = 950272, offset = 49332224
gguf_ex_read_0: tensor[78]: name = blk.13.ffn_down_shexp.weight.lora_a, size = 950272, offset = 50282496
gguf_ex_read_0: tensor[79]: name = blk.13.ffn_down_shexp.weight.lora_b, size = 688128, offset = 51232768
gguf_ex_read_0: tensor[80]: name = blk.24.ffn_down_shexp.weight.lora_a, size = 950272, offset = 51920896
gguf_ex_read_0: tensor[81]: name = blk.24.ffn_down_shexp.weight.lora_b, size = 688128, offset = 52871168
gguf_ex_read_0: tensor[82]: name = blk.27.ffn_up_shexp.weight.lora_a, size = 688128, offset = 53559296
gguf_ex_read_0: tensor[83]: name = blk.27.ffn_up_shexp.weight.lora_b, size = 950272, offset = 54247424
gguf_ex_read_0: tensor[84]: name = blk.49.ffn_gate_inp.weight.lora_a, size = 688128, offset = 55197696
gguf_ex_read_0: tensor[85]: name = blk.49.ffn_gate_inp.weight.lora_b, size = 16384, offset = 55885824
gguf_ex_read_0: tensor[86]: name = blk.13.ffn_up_shexp.weight.lora_a, size = 688128, offset = 55902208
gguf_ex_read_0: tensor[87]: name = blk.13.ffn_up_shexp.weight.lora_b, size = 950272, offset = 56590336
gguf_ex_read_0: tensor[88]: name = blk.6.ffn_gate_inp.weight.lora_a, size = 688128, offset = 57540608
